"item","k","expected_vocab","pct_of_full_vocab"
"hedonism08",23,308.184,0.786183673469388
"hedonism08",24,318.144,0.811591836734694
"hedonism08",25,327.888,0.836448979591837
"hedonism08",26,337.47,0.860892857142857
"hedonism08",27,348.16,0.888163265306123
"hedonism08",28,355.732,0.907479591836735
"hedonism08",29,365.126,0.93144387755102
"hedonism08",30,374.2,0.954591836734694
"hedonism08",31,382.79,0.976505102040816
"hedonism08",32,392,1
"utilitarian01",2,30.772,0.0995857605177994
"utilitarian01",3,45.468,0.147145631067961
"utilitarian01",4,58.894,0.190595469255663
"utilitarian01",5,72.094,0.233313915857605
"utilitarian01",6,85.322,0.276122977346278
"utilitarian01",7,97.116,0.314291262135922
"utilitarian01",8,109.594,0.354673139158576
"utilitarian01",9,120.764,0.390822006472492
"utilitarian01",10,133.298,0.431385113268608
"utilitarian01",11,143.008,0.462809061488673
"utilitarian01",12,154.926,0.501378640776699
"utilitarian01",13,165.728,0.536336569579288
"utilitarian01",14,175.382,0.56757928802589
"utilitarian01",15,186.038,0.602064724919094
"utilitarian01",16,196.968,0.637436893203883
"utilitarian01",17,207.452,0.67136569579288
"utilitarian01",18,217.996,0.705488673139159
"utilitarian01",19,225.99,0.731359223300971
"utilitarian01",20,235.94,0.763559870550162
"utilitarian01",21,246.062,0.79631715210356
"utilitarian01",22,255.502,0.826867313915858
"utilitarian01",23,264.802,0.856964401294498
"utilitarian01",24,273.912,0.886446601941748
"utilitarian01",25,282.95,0.915695792880259
"utilitarian01",26,291.754,0.944187702265372
"utilitarian01",27,299.93,0.970647249190939
"utilitarian01",28,309,1
"virtue01",2,31.03,0.110427046263345
"virtue01",3,45.04,0.160284697508897
"virtue01",4,59.65,0.212277580071174
"virtue01",5,73.636,0.262049822064057
"virtue01",6,86.728,0.308640569395018
"virtue01",7,97.434,0.346740213523132
"virtue01",8,111.818,0.397928825622776
"virtue01",9,123.148,0.438249110320285
"virtue01",10,132.878,0.472875444839858
"virtue01",11,144.27,0.513416370106762
"virtue01",12,154.566,0.550056939501779
"virtue01",13,164.784,0.586419928825623
"virtue01",14,176.276,0.627316725978648
"virtue01",15,185.318,0.659494661921708
"virtue01",16,195.76,0.696654804270463
"virtue01",17,207.632,0.738903914590747
"virtue01",18,215.506,0.766925266903915
"virtue01",19,225.932,0.80402846975089
"virtue01",20,234.472,0.834419928825623
"virtue01",21,244.558,0.870313167259786
"virtue01",22,253.898,0.903551601423488
"virtue01",23,263.222,0.936733096085409
"virtue01",24,271.568,0.966434163701068
"virtue01",25,281,1
"virtue09",2,36.548,0.0969442970822281
"virtue09",3,50.91,0.135039787798408
"virtue09",4,65.594,0.173989389920424
"virtue09",5,79.28,0.210291777188329
"virtue09",6,94.896,0.251713527851459
"virtue09",7,107.648,0.285538461538462
"virtue09",8,119.07,0.315835543766578
"virtue09",9,130.94,0.347320954907162
"virtue09",10,144.876,0.384286472148541
"virtue09",11,153.996,0.408477453580902
"virtue09",12,167.568,0.444477453580902
"virtue09",13,175.632,0.465867374005305
"virtue09",14,186.222,0.493957559681698
"virtue09",15,196.982,0.522498673740053
"virtue09",16,210.162,0.557458885941645
"virtue09",17,217.498,0.576917771883289
"virtue09",18,225.738,0.598774535809019
"virtue09",19,235.76,0.625358090185676
"virtue09",20,247.91,0.657586206896552
"virtue09",21,253.106,0.671368700265252
"virtue09",22,265.794,0.705023872679045
"virtue09",23,276.33,0.732970822281167
"virtue09",24,284.204,0.753856763925729
"virtue09",25,291.784,0.773962864721485
"virtue09",26,301.782,0.80048275862069
"virtue09",27,310.124,0.822610079575597
"virtue09",28,318.936,0.845984084880637
"virtue09",29,329.67,0.874456233421751
"virtue09",30,336.41,0.892334217506631
"virtue09",31,344.22,0.913050397877984
"virtue09",32,352.3,0.93448275862069
"virtue09",33,361.7,0.959416445623342
"virtue09",34,369.666,0.980546419098143
"virtue09",35,377,1
